dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested
17K533,38.0,377.0,404.0,372.0,0.78
17K537,73.0,338.0,349.0,340.0,0.85
17K539,61.0,362.0,375.0,368.0,0.78
17K543,69.0,457.0,462.0,441.0,0.85
17K544,54.0,386.0,391.0,369.0,0.78
17K546,79.0,418.0,441.0,414.0,
17K547,63.0,388.0,382.0,373.0,0.85
17K548,48.0,385.0,393.0,373.0,0.78
17K568,16.0,372.0,356.0,335.0,0.85
17K590,165.0,476.0,481.0,479.0,0.78
17K600,259.0,425.0,413.0,413.0,0.85
17K625,53.0,365.0,363.0,355.0,0.92
17K751,,,,,0.78
18K563,56.0,313.0,320.0,330.0,0.85
18K566,29.0,374.0,377.0,394.0,
18K567,54.0,383.0,358.0,377.0,0.78
18K569,43.0,368.0,378.0,346.0,0.85
18K576,63.0,387.0,377.0,379.0,0.85
18K578,17.0,384.0,362.0,351.0,0.92
18K589,48.0,361.0,360.0,359.0,
18K617,37.0,404.0,393.0,386.0,0.78
18K629,33.0,393.0,395.0,381.0,0.85
18K633,75.0,386.0,380.0,393.0,
18K635,7.0,400.0,370.0,370.0,0.85
18K637,35.0,363.0,381.0,367.0,0.78
18K642,40.0,376.0,385.0,374.0,0.92
18K673,12.0,410.0,403.0,378.0,0.78
19K409,54.0,416.0,432.0,394.0,0.85
19K420,,,,,0.78
19K431,,,,,0.92
19K502,37.0,341.0,349.0,333.0,0.78
19K504,47.0,363.0,349.0,342.0,0.85
19K507,61.0,380.0,386.0,383.0,
19K510,68.0,371.0,365.0,370.0,0.85
19K583,29.0,279.0,322.0,286.0,0.78
19K615,182.0,395.0,418.0,380.0,0.78
19K618,60.0,371.0,371.0,354.0,0.78
19K639,57.0,360.0,385.0,363.0,0.85
19K659,51.0,376.0,385.0,368.0,0.85
19K660,74.0,370.0,369.0,363.0,0.78
19K683,38.0,383.0,400.0,374.0,0.92
20K445,456.0,402.0,471.0,399.0,0.85
20K485,238.0,425.0,474.0,424.0,
20K490,694.0,417.0,478.0,411.0,0.85
20K505,385.0,383.0,486.0,375.0,
20K609,,,,,0.78
20K658,18.0,338.0,477.0,316.0,0.78
21K337,54.0,326.0,386.0,314.0,0.85
21K344,54.0,402.0,427.0,408.0,0.92
21K348,39.0,388.0,398.0,378.0,0.85
21K410,475.0,396.0,437.0,393.0,0.78
21K412/21K411,,,,,0.78
21K468,,,,,0.78
21K525,727.0,468.0,496.0,467.0,0.85
21K540,448.0,404.0,468.0,390.0,0.92
21K559,40.0,384.0,375.0,365.0,0.92
21K572,40.0,353.0,370.0,356.0,0.78
21K620,95.0,394.0,414.0,376.0,
21K690,119.0,429.0,449.0,435.0,0.85
21K728,10.0,411.0,369.0,373.0,0.85
22K405,824.0,478.0,519.0,476.0,
22K425,518.0,436.0,475.0,439.0,0.92
22K495,236.0,383.0,392.0,370.0,
22K535,259.0,524.0,561.0,542.0,0.92
22K555,131.0,456.0,456.0,440.0,0.78
23K493,60.0,389.0,409.0,387.0,0.85
23K514,55.0,361.0,371.0,359.0,0.85
23K643,11.0,349.0,338.0,331.0,0.78
23K646,7.0,311.0,371.0,311.0,0.78
23K647,17.0,350.0,346.0,332.0,0.78
23K697,69.0,392.0,416.0,388.0,0.92
24Q264,89.0,405.0,454.0,421.0,0.85
24Q267,39.0,406.0,413.0,400.0,0.85
24Q293,69.0,404.0,429.0,407.0,0.85
24Q296,55.0,317.0,323.0,311.0,0.78
24Q299,155.0,545.0,568.0,550.0,0.78
24Q455,320.0,383.0,440.0,380.0,0.92
24Q457,,,,,0.92
24Q485,241.0,395.0,420.0,396.0,0.78
24Q520,58.0,399.0,393.0,385.0,
24Q530,69.0,326.0,409.0,329.0,0.92
24Q550,138.0,391.0,403.0,380.0,0.92
24Q560,80.0,443.0,447.0,440.0,
24Q600,155.0,417.0,447.0,406.0,
24Q610,396.0,445.0,496.0,423.0,0.92
24Q744,,,,,0.85
25Q252,58.0,455.0,498.0,443.0,0.78
25Q263,45.0,314.0,417.0,318.0,
25Q281,59.0,416.0,463.0,392.0,
25Q285,63.0,471.0,489.0,481.0,
25Q425,558.0,397.0,451.0,395.0,0.78
25Q460,347.0,393.0,441.0,382.0,0.85
25Q467,9.0,378.0,373.0,344.0,0.78
25Q525,278.0,621.0,651.0,638.0,0.78
25Q540,17.0,398.0,382.0,388.0,
25Q670,99.0,431.0,458.0,441.0,0.92
25Q792,7.0,379.0,421.0,377.0,0.78
26Q415,888.0,480.0,545.0,489.0,0.78
26Q430,934.0,468.0,539.0,467.0,
26Q435,334.0,391.0,397.0,384.0,0.78
26Q495,708.0,462.0,523.0,464.0,
26Q566,175.0,425.0,434.0,420.0,0.85
27Q260,87.0,387.0,385.0,373.0,0.85
27Q262,74.0,432.0,419.0,401.0,0.78
27Q302,44.0,391.0,401.0,364.0,0.85
27Q308,93.0,423.0,426.0,416.0,
27Q309,36.0,367.0,379.0,348.0,0.92
27Q323,89.0,499.0,537.0,496.0,0.78
27Q400,101.0,377.0,371.0,360.0,0.78
27Q410,78.0,384.0,396.0,354.0,
27Q475,404.0,382.0,404.0,368.0,0.78
27Q480,403.0,391.0,409.0,392.0,0.92
27Q650,194.0,429.0,491.0,425.0,0.85
28Q284,,,,,0.78
28Q310,68.0,420.0,445.0,400.0,0.78
28Q325,,,,,0.92
28Q338,6.0,403.0,408.0,367.0,0.92
28Q350,25.0,430.0,452.0,425.0,0.78
28Q440,762.0,456.0,497.0,454.0,0.78
28Q470,90.0,342.0,,353.0,0.92
28Q505,462.0,395.0,413.0,386.0,0.85
28Q620,422.0,452.0,478.0,442.0,0.85
28Q680,99.0,513.0,523.0,502.0,0.85
28Q686,,,,,0.78
28Q687,121.0,612.0,660.0,596.0,0.92
28Q690,74.0,406.0,406.0,384.0,
28Q896,68.0,439.0,445.0,432.0,0.92
29Q248,52.0,360.0,380.0,359.0,0.85
29Q259,46.0,401.0,397.0,375.0,0.92
29Q265,49.0,402.0,398.0,402.0,0.85
29Q272,59.0,436.0,427.0,424.0,0.92
29Q283,43.0,370.0,,363.0,0.85
29Q326,,,,,0.78
29Q492,78.0,400.0,426.0,394.0,0.92
29Q494,52.0,385.0,377.0,377.0,0.85
29Q496,49.0,379.0,414.0,359.0,
29Q498,62.0,393.0,381.0,377.0,0.78
30Q286,,,,,0.78
30Q301,98.0,410.0,440.0,405.0,0.78
30Q445,395.0,414.0,449.0,412.0,0.85
30Q450,392.0,403.0,420.0,395.0,0.92
30Q501,174.0,504.0,496.0,494.0,0.92
30Q502,148.0,407.0,434.0,398.0,
30Q555,143.0,323.0,475.0,329.0,0.78
30Q575,135.0,487.0,492.0,491.0,
30Q580,61.0,524.0,568.0,544.0,0.78
31R047,137.0,452.0,451.0,450.0,0.92
31R064,61.0,398.0,412.0,385.0,0.92
31R080,107.0,472.0,488.0,466.0,
31R440,391.0,424.0,437.0,416.0,0.92
31R445,271.0,424.0,438.0,417.0,
31R450,375.0,437.0,435.0,429.0,0.92
31R455,807.0,462.0,486.0,470.0,0.92
31R460,535.0,455.0,474.0,459.0,
31R470,10.0,466.0,455.0,414.0,
31R600,94.0,416.0,422.0,397.0,0.85
31R605,227.0,635.0,682.0,636.0,
31R607,10.0,405.0,375.0,370.0,0.78
32K403,50.0,380.0,366.0,352.0,0.92
32K545,88.0,384.0,409.0,361.0,0.85
